Key,English
perkSandmanRank1LongDesc,"When crouching and hidden, gain 5% damage when using a silencer."
perkSandmanRank2Desc,"Sleep Tight"
perkSandmanRank2LongDesc,"When crouching and hidden, gain 10% damage when using a silencer."
perkSandmanRank3Desc,"Death Whisper"
perkSandmanRank3LongDesc,"When crouching and hidden, gain 15% damage when using a silencer."
perkSandmanRank4Desc,"Sweet Dreams"
perkSandmanRank4LongDesc,"When crouching and hidden, gain 20% damage when using a silencer. There's a very small chance your attack will instantly kill your target."
perkSandmanRank5Desc,"Angel of Death"
perkSandmanRank5LongDesc,"When crouching and hidden, gain 25% damage when using a silencer. There's a small chance your attack will instantly kill your target."
perkWellnessName,"Wellness"
perkWellnessDesc,"Keep youself healthy to maximize survival chances."
perkWellnessRank1Desc,"Active"
perkWellnessRank1LongDesc,"Max health increased by 10."
perkWellnessRank2Desc,"Sturdy"
perkWellnessRank2LongDesc,"Max health increased by 20."
perkWellnessRank3Desc,"Stout"
perkWellnessRank3LongDesc,"Max health increased by 30."
perkWellnessRank4Desc,"Vitamin E-fficient"
perkWellnessRank4LongDesc,"Max health increased by 40. Also gain a very small health regen."
perkWellnessRank5Desc,"Picture of Health"
perkWellnessRank5LongDesc,"Max health increased by 50. Also gain a small health regen."
perkDenseBonesName,"Dense Bones"
perkDenseBonesDesc,"Tough up those weak bones to help prevent sprains and breaks."
perkDenseBonesRank1Desc,"Brittle Bones"
perkDenseBonesRank1LongDesc,"Might want to be careful still. Increase your resistance to spraining or breaking your limbs by 10%."
perkDenseBonesRank2Desc,"Vitamin D Deficiency"
perkDenseBonesRank2LongDesc,"Increase your resistance to limb sprains and breaks by 20%."
perkDenseBonesRank3Desc,"Milk Drinker"
perkDenseBonesRank3LongDesc,"Increase your resistance to spraining or breaking your limbs by 35%."
perkDenseBonesRank4Desc,"All the Calcium"
perkDenseBonesRank4LongDesc,"Will it break? It's a coin flip! Increase your resistance to spraining or breaking your limbs by 50%."
perkDenseBonesRank5Desc,"Adamantium Skeleton"
perkDenseBonesRank5LongDesc,"Call yourself Wolverine! Increase your resistance to spraining or breaking your limbs by 75%."
perkRadResistantName,"Rad Resistant"
perkRadResistantDesc,"A little radiation never hurt anybody."
perkRadResistantRank1Desc,"Low Level Radiation"
perkRadResistantRank1LongDesc,"Probably should still avoid that glowy green thing over there. Increase your resistance to radiation by 15%."
perkRadResistantRank2Desc,"Need No Geiger"
perkRadResistantRank2LongDesc,"Increase your resistance to radiation by 30%."
perkRadResistantRank3Desc,"Chernobyl Vacation"
perkRadResistantRank3LongDesc,"Haz Mat suit? Nah! Increase your resistance to radiation by 45%."
perkRadResistantRank4Desc,"Nuclear Waste Janitor"
perkRadResistantRank4LongDesc,"Increase your resistance to radiation by 60%."
perkRadResistantRank5Desc,"Nuclear Winter Ready"
perkRadResistantRank5LongDesc,"You barely even feel it anymore! Increase your resistance to radiation by 75%."
perkEarlyBirdName,"Early Bird"
perkEarlyBirdDesc,"Go get those worms! Gain health and skill boosts during the daytime."
perkEarlyBirdRank1Desc,"Rise and Shine"
perkEarlyBirdRank1LongDesc,"The sun feels so good! Increase Strength and Fortitude by one during the daylight."
perkEarlyBirdRank2Desc,"Morning Person"
perkEarlyBirdRank2LongDesc,"You feel the sun energizing you. During the day max health is raised by 10."
perkEarlyBirdRank3Desc,"Afternoon Delight"
perkEarlyBirdRank3LongDesc,"Increase your daytime Strength and Fortitude another level."
perkEarlyBirdRank4Desc,"Sunbather"
perkEarlyBirdRank4LongDesc,"Catch those rays! Max health is raised by another 10."
perkEarlyBirdRank5Desc,"Solar Power"
perkEarlyBirdRank5LongDesc,"Peak sun power! Gain three levels to Strength and Fortitude and raise max health by 25 total."
perkDeepCutsRank3LongDesc,"You are a cut above the rest. Craft quality 4 good knives and deal 30% more damage. You can inflict up to 5 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Bleeding Wound. Enemies run 15% slower while bleeding.\nUnlocks machete crafting."
perkDeepCutsRank5LongDesc,"You are a samurai and can make sushi out of your foes. Craft quality 6 excellent knives. Deal 50% more damage. You can inflict up to 7 Bleeding Wounds on an enemy and a power attack inflicts 5. All glancing blows cause 1 Bleeding Wound. Enemies run 20% slower while bleeding."
perkGunslingerRank1LongDesc,"You're no Wyatt Earp but you're better than the average drifter. Craft quality 2 poor handguns, deal 10% more damage, and 5% faster fire rate.\nUnlocks 9mm pistol crafting."
perkGunslingerRank2LongDesc,"You are making a name for yourself, outlaw. Craft quality 3 fair handguns, deal 20% more damage, and 10% faster fire rate.\nUnlocks 10mm Revolver crafting."
perkGunslingerRank3LongDesc,"You can keep most situations under control, sheriff. Craft quality 4 good handguns, deal 30% more damage, and 15% faster fire rate. Critical Damage: 5 successive hits in a short time cause critical damage.\nUnlocks 1911 crafting."
perkGunslingerRank4LongDesc,"You're now a gunfighter and can clear out a saloon full of rowdy bastards at the drop of a hat. Craft quality 5 great handguns, deal 40% more damage, and 20% faster fire rate. Critical Damage: 4 successive hits in a short time cause the last shot to do 100% extra damage.\nUnlocks 44 Magnum and 1921 Thompson crafting."
perkGunslingerRank5LongDesc,"You are the fastest gunslinger in Navezgane. Craft quality 6 excellent handguns. Deal 50% more damage, 25% faster fire rate, and 30% faster reload with handguns. Critical Damage: 3 successive hits in a short time cause the last shot to do 100% extra damage."
perkFromTheShadowsRank5LongDesc,"Hide in the shadows 65% more effectively, noises from actions are muffled 50% and sneak movement is 50% faster. Your quick feet allow you to not set off landmines.\nEnemies will search for you for up to 20 seconds."
perkFlurryOfBlowsRank3Desc,"Crane Technique"
perkFlurryOfBlowsRank3LongDesc,"One-handed melee attack speeds are increased by 25%. Each kill recharges stamina by 20 points."
perkFlurryOfBlowsRank4Desc,"Wax On, Wax Off"
perkFlurryOfBlowsRank4LongDesc,"Mister Miyagi would be proud! One-handed melee attack speeds are increased by 34%. Each kill recharges stamina by 30 points."
perkFlurryOfBlowsRank5Desc,"Flurry of Blows"
perkFlurryOfBlowsRank5LongDesc,"You have mastered the flurry of blows. One-handed melee attack speeds are increased by 45%. Each kill recharges stamina by 40 points."
perkMachineGunnerRank1LongDesc,"Spray and Pray is your thing. Craft quality 2 poor machine guns. Deal 10% more damage, and 5% faster fire rate.\nUnlocks Ak47 Crafting."
perkMachineGunnerRank2LongDesc,"You are no commando, but you do what it takes to get the job done. Craft quality 3 fair machine guns, deal 20% more damage, and 10% faster fire rate."
perkMachineGunnerRank3LongDesc,"All the combat has sharpened your skills and you are now a soldier. Craft quality 4 good machine guns, deal 30% more damage, and 15% faster fire rate. Commando Adrenaline: Each shot scored with automatic weapons gives you 2 stamina.\nUnlocks Service Rifle crafting."
perkMachineGunnerRank4LongDesc,"Your skill now matches the special forces. Craft quality 5 great machine guns, deal 40% more damage, and 20% faster fire rate. Commando Adrenaline: Each shot scored with automatic weapons gives you 4 stamina."
perkMachineGunnerRank5LongDesc,"You are now the ultimate machine gunner. Craft quality 6 excellent machine guns. Deal 50% more damage, and 25% faster fire rate. Commando Adrenaline: Each shot scored with automatic weapons gives you 6 stamina."
perkRuleOneCardioNameRank4Desc,"Professional Sprinter"
perkRuleOneCardioNameRank4LongDesc,"Increase stamina regen by 40% when sprinting."
perkRuleOneCardioNameRank5Desc,"Forrest Gump"
perkRuleOneCardioNameRank5LongDesc,"Just keep running! Increase stamina regen by 50% when sprinting."
perkRunAndGunRank3LongDesc,"You are now a deadly trigger man. Hip fire accuracy is improved by 25% and movement penalty when reloading is reduced 70%."
perkRunAndGunRank4Desc,"Quick Reloads"
perkRunAndGunRank4LongDesc,"Hip fire accuracy is improved by 35% and movement penalty when reloading is reduced 90%."
perkRunAndGunRank5Desc,"Running and Gunning"
perkRunAndGunRank5LongDesc,"Keep your distance without needing to slow down to reload! Hip fire accuracy is improved by 45% and have no movement penalty when reloading."
perkJavelinMasterRank3LongDesc,"You are now a Spearman and can Craft quality 4 good spears. Spears inflict 30% more damage and have 30% more range when thrown.\nUnlocks Fish Spear crafting."
perkCantTouchThisName,"Can't Touch This"
perkCantTouchThisDesc,"It's not hammer time! Take less damage while sprinting."
perkCantTouchThisRank1Desc,"Dodger"
perkCantTouchThisRank1LongDesc,"As long as you keep moving you'll be fine. Take 5% less damage while sprinting."
perkCantTouchThisRank2Desc,"Quick Feet"
perkCantTouchThisRank2LongDesc,"Take 10% less damage while sprinting."
perkCantTouchThisRank3Desc,"Muddy Pig"
perkCantTouchThisRank3LongDesc,"They just can't seem to get a clean shot on you! Take 20% less damage while sprinting."
perkCantTouchThisRank4Desc,"Greased-Up Deaf Guy"
perkCantTouchThisRank4LongDesc,"Good luck catching you now! Take 30% less damage while sprinting."
perkCantTouchThisRank5Desc,"Mr. Hammer"
perkCantTouchThisRank5LongDesc,"Never stop! Take 35% less damage while sprinting."
perkParkourRank2LongDesc,"You've pulled off some stunts, but sometimes your hospital bills are larger than your paycheck. Reduce stamina cost of jumping by 20%. Increase safe fall distance by 2 meters and jump 2 meters high."
perkParkourRank3LongDesc,"You're an adrenaline junkie and capable of death defying acts of insanity. Reduce stamina cost of jumping by 30%. Increase safe fall distance by 4 meters and never get a broken leg when falling. Can jump 2.5 meters."
perkParkourRank4LongDesc,"You are now a parkour master and can navigate difficult situations easily. Reduce stamina cost of jumping by 40%. Increase safe fall distance by 5 meters, can jump 3 meters higher, and never get a sprained or broken leg when falling."
perkParkourRank5Desc,"Built Different"
perkParkourRank5LongDesc,"You now have springs for legs and can get yourself out of almost anything. Reduce stamina cost of jumping by 50%. Increase safe fall distance by 6 meters, and you can jump 3.5 meters higher."
perkArcheryRank3LongDesc,"All the rigorous training has turned you into a marksman with Bows. Craft quality 4 good bows, deal 30% more damage, 30% faster aim, draw and reload with bows. Unlocks compound bow and crossbow crafting."
perkArcheryRank5LongDesc,"You have mastered archery and are now a ranger. Craft quality 6 excellent bows. Deal 50% more damage, 50% faster aim, draw and reload with bows."
perkAnimalTrackerRank1LongDesc,"Crouch down and use your keen eyesight to find the tracks of small animals like rabbits, snakes or chickens up to 30m away.\nTracked animals are marked on your compass and map."
perkAnimalTrackerRank2LongDesc,"Your hawk like senses can detect deer and boars as well as sneaky predators like wolves or coyotes up to 60m away."
perkAnimalTrackerRank3LongDesc,"Become the ultimate tracker. Your senses are unparalleled. You can detect predators like mountain lions or bears up to 90m away."
perkAnimalTrackerRank4Desc,"Eagle Eye Tracker"
perkAnimalTrackerRank4LongDesc,"You see everything! You can detect animals from 120m away."
perkAnimalTrackerRank5Desc,"Master Tracker"
perkAnimalTrackerRank5LongDesc,"You can smell them before they smell you. Track animals up to 150m away."
perkLivingOffTheLandRank1LongDesc,"Harvest double the amount from wild or planted crops. Craft seeds for Goldenrod, Yucca, and Cotton.\nFarm plots cost 30% less to craft."
perkLivingOffTheLandRank2LongDesc,"You can craft seeds for Chrysanthemum, Blueberries, and Hops.\nFarm plots cost 50% less to craft."
perkLivingOffTheLandRank3LongDesc,"Harvest 2.5 times more from wild or planted crops. Can now craft seeds for Aloe, Mushrooms, and Corn."
perkLivingOffTheLandRank4Desc,"Green Thumb"
perkLivingOffTheLandRank4LongDesc,"Craft Potato, Coffee, and Pumpkin seeds."
perkLivingOffTheLandRank5Desc,"One With Nature"
perkLivingOffTheLandRank5LongDesc,"Harvest triple the amount from wild or planted crops. Craft Super Corn and Snowberry seeds."
perkTheHuntsmanRank1LongDesc,"You are on the path of the huntsman. Harvest 20% more resources from animals using any bladed tool or weapon. Deal 10% more damage to animals."
perkTheHuntsmanRank2LongDesc,"You are becoming adept at skinning and harvesting meat. Harvest 40% more resources from animals using any bladed tool or weapon. Deal 20% more damage to animals."
perkTheHuntsmanRank3LongDesc,"Living in the wild is becoming second nature to you. Harvest 60% more resources from animals using any bladed tool or weapon. Deal 30% more damage to animals."
perkTheHuntsmanRank4LongDesc,"You know exactly how to get the perfect cuts. Harvest 80% more resources from animals using any bladed tool or weapon. Deal 40% more damage to animals."
perkTheHuntsmanRank5LongDesc,"You are a true mountain man and let nothing go to waste. Harvest 100% more resources from animals using any bladed tool or weapon. Deal 50% more damage to animals."
perkMasterChefRank2LongDesc,"Just like grandma used to make, tasty hearty meals that fill you up for days. Craft steak and potatoes, meat stew, vegetable stew, blueberry and snowberry pie and several pumpkin dishes. Wasteland specialties include Grilled Hound Chops and Scrambled Hunter Eggs. Cook 20% faster."
perkMasterChefRank3LongDesc,"Learn how to make nutritious pot luck meals from canned goods. Craft Sham Chowder, Hobo Stew, Chili dogs and Fish Tacos. Wasteland specialties include Scorpion Omelette, Scorpionfly Filet and Hunter Steak. Wash them down with Yucca Juice or Snowberry Smoothies and Beer. Cook 30% faster."
perkMasterChefRank4LongDesc,"Cook for an army by making Gumbo Stew, Shepards Pie, Spaghetti and Tuna Gravy on Toast. Wasteland specialties include Scorpion Filet and Mosquito Steak. Cook 40% faster. Use 20% less of a recipe's main ingredients."
perkMasterChefRank5LongDesc,"Unlocks the Full Course Meal as well as Grandpa's ass kicking recipes.\nLearn grandpa's secret recipes that boost stats and attributes! Cook 50% faster."
perkInfiltratorRank1LongDesc,"You are now a mole and can move through dangerous traps easier.  Loose board traps and land mines trigger half a second slower. Take 10% less damage from land mines."
perkInfiltratorRank2LongDesc,"You are now a trespasser and move with confidence through dangerous settings. Loose board traps and land mines trigger 1 second slower. Take 20% less damage from land mines."
perkInfiltratorRank3LongDesc,"You are known as The Infiltrator. Loose board traps and land mines trigger 1.5 seconds slower. Take 30% less damage from land mines."
perkInfiltratorRank4Desc,"Assassin"
perkInfiltratorRank4LongDesc,"You are now an assassin and move with confidence through dangerous settings. Loose board traps and land mines trigger 2 seconds slower. Take 40% less damage from land mines."
perkInfiltratorRank5Desc,"Ghost"
perkInfiltratorRank5LongDesc,"You move like a ghost and you can safely navigate the most dangerous minefields. Loose board traps and land mines trigger 2.5 seconds slower. Take 50% less damage from land mines. Can pick up land mines."
perkCannibalName,"Cannibal"
perkCannibalDesc,"It is an apocalypse, so you gotta do what you must to survive..."
perkCannibalRank1Desc,"What's Wrong With You?"
perkCannibalRank1LongDesc,"Consuming raw human meat will restore a small amount of food and health."
perkCannibalRank2Desc,"People Eater"
perkCannibalRank2LongDesc,"Consuming raw human or ghoul meat will restore some food and health."
perkCannibalRank3Desc,"Tastes Like Chicken"
perkCannibalRank3LongDesc,"Consuming raw human, ghoul, or mutant meat will restore more food and health."
perkCannibalRank4Desc,"You Gonna Eat That?"
perkCannibalRank4LongDesc,"Consuming raw human, ghoul, or mutant meat will restore even more food and health."
perkCannibalRank5Desc,"Cannibal Lecter"
perkCannibalRank5LongDesc,"Consuming raw human, ghoul, or mutant meat will restore a good amount food and health."
perkDukeDiscovererName,"Duke Discoverer"
perkDukeDiscovererDesc,"You have a keen eye when it comes to finding Dukes. Find more of them in loot."
perkDukeDiscovererRank1Desc,"Penny Pincher"
perkDukeDiscovererRank1LongDesc,"Find 10% more Dukes in loot."
perkDukeDiscovererRank2Desc,"Tightwad"
perkDukeDiscovererRank2LongDesc,"Find 20% more Dukes in loot."
perkDukeDiscovererRank3Desc,"Scrooge"
perkDukeDiscovererRank3LongDesc,"Find 30% more Dukes in loot."
perkDukeDiscovererRank4Desc,"Coin Collector"
perkDukeDiscovererRank4LongDesc,"Find 40% more Dukes in loot."
perkDukeDiscovererRank5Desc,"Dukegrubber"
perkDukeDiscovererRank5LongDesc,"Find 50% more Dukes in loot."
perkAmmoJunkieName,"Ammo Junkie"
perkAmmoJunkieDesc,"You'll need all the ammo you can scrounge up. Find more of it in loot."
perkAmmoJunkieRank1Desc,"Ammo Acquirer"
perkAmmoJunkieRank1LongDesc,"Find 10% more ammo in loot."
perkAmmoJunkieRank2Desc,"Bullet Bandit"
perkAmmoJunkieRank2LongDesc,"Find 20% more ammo in loot."
perkAmmoJunkieRank3Desc,"Cartridge Connoisseur"
perkAmmoJunkieRank3LongDesc,"Find 30% more ammo in loot."
perkAmmoJunkieRank4Desc,"Munition Moocher"
perkAmmoJunkieRank4LongDesc,"Find 40% more ammo in loot."
perkAmmoJunkieRank5Desc,"Round Wrangler"
perkAmmoJunkieRank5LongDesc,"Find 50% more ammo in loot."
perkTreasureHunterRank1LongDesc,"For every 8 blocks dug up the treasure search radius is reduced by 1m. Without the perk you have to dig up 10 blocks each.\nFind 10% more items in buried treasure."
perkTreasureHunterRank2LongDesc,"For every 7 blocks dug up the treasure search radius is reduced by 1m.\nFind 20% more items in buried treasure."
perkTreasureHunterRank3LongDesc,"For every 5 blocks dug up the treasure search radius is reduced by 1m.\nFind 30% more items in buried treasure."
perkTreasureHunterRank4Desc,"Fortune Finder"
perkTreasureHunterRank4LongDesc,"For every 3 blocks dug up the treasure search radius is reduced by 1m.\nFind 40% more items in buried treasure."
perkTreasureHunterRank5Desc,"Booty Bandit"
perkTreasureHunterRank5LongDesc,"For every 1 block dug up the treasure search radius is reduced by 1m.\nFind 50% more items in buried treasure."
perkSploderName,"Sploder"
perkSploderDesc,"Increase your chances of taking off enemies limbs."
perkSploderRank1Desc,"Arm Amputater"
perkSploderRank1LongDesc,"Gain a 5% higher chance to dismember arms and legs."
perkSploderRank2Desc,"Crawler Creator"
perkSploderRank2LongDesc,"Gain a 10% higher chance to dismember arms and legs."
perkSploderRank3Desc,"Limb Lopper"
perkSploderRank3LongDesc,"Gain a 15% higher chance to dismember arms and legs. Deal an additional 5% damage. Also, you now have a 5% chance to knockdown an enemy you dismember."
perkSploderRank4Desc,"Bloody Mess"
perkSploderRank4LongDesc,"Gain a 20% higher chance to dismember arms and legs. Deal an additional 10% damage. Also, you now have a 10% chance to knockdown an enemy you dismember."
perkSploderRank5Desc,"Sploder"
perkSploderRank5LongDesc,"Gain a 25% higher chance to dismember arms and legs. Deal an additional 15% damage. Also, you now have a 15% chance to knockdown an enemy you dismember."
perkIgnoranceIsBlissName,"Ignorance is Bliss"
perkIgnoranceIsBlissDesc,"You're not dumb, just...different. Randomly receive a buff that increase XP gained. The lower your Intellect, the more likely it is to happen."
perkIgnoranceIsBlissRank1Desc,"Astute Simpleton"
perkIgnoranceIsBlissRank1LongDesc,"Whenever the buff is active, gain 50% more XP."
perkIgnoranceIsBlissRank2Desc,"Gifted Dimwit"
perkIgnoranceIsBlissRank2LongDesc,"Whenever the buff is active, gain 100% more XP."
perkIgnoranceIsBlissRank3Desc,"Moronic Sage"
perkIgnoranceIsBlissRank3LongDesc,"Whenever the buff is active, gain 150% more XP."
perkIgnoranceIsBlissRank4Desc,"Slow Guru"
perkIgnoranceIsBlissRank4LongDesc,"Whenever the buff is active, gain 200% more XP."
perkIgnoranceIsBlissRank5Desc,"Idiot Savant"
perkIgnoranceIsBlissRank5LongDesc,"Whenever the buff is active, gain 300% more XP. There's a 33% chance you'll also receive 300% XP for any kills for 60 seconds."
perkCriticalStrikeName,"Critical Strike"
perkCriticalStrikeDesc,"Learn the importance of Rule #2. Increases headshot damage"
perkCriticalStrikeRank1Desc,"One Shot"
perkCriticalStrikeRank1LongDesc,"Always go for the head. Deal 10% extra headshot damage."
perkCriticalStrikeRank2Desc,"Right Between the Eyes"
perkCriticalStrikeRank2LongDesc,"Deal 20% extra headshot damage."
perkCriticalStrikeRank3Desc,"Executioner"
perkCriticalStrikeRank3LongDesc,"Best way to save ammo is to make the shot count. Deal 30% extra headshot damage."
perkCriticalStrikeRank4Desc,"Aim for the Head"
perkCriticalStrikeRank4LongDesc,"Deal 40% extra headshot damage."
perkCriticalStrikeRank5Desc,"Double Tap"
perkCriticalStrikeRank5LongDesc,"You've taken Rule #2 to heart. Deal 50% extra headshot damage."
perkDaringAdventurerRank1LongDesc,"Risking your neck every day has its advantages. Get an additional 10% more dukes for quest rewards."
perkDaringAdventurerRank2LongDesc,"The traders know you can get the job done, plunderer. Get an additional choice for quest rewards and 15% more dukes."
perkDaringAdventurerRank3LongDesc,"You've made a name for yourself as a mercenary for hire. Get two additional choices for quest rewards and 20% more dukes."
perkDaringAdventurerRank4LongDesc,"You are the daring adventurer and get some of the best rewards for your services. You can now choose two quest rewards and get 25% more dukes."
perkDaringAdventurerRank5Desc,"Master Adventurer"
perkDaringAdventurerRank5LongDesc,"Task master! You now get three additional choices for rewards and can choose three rewards total. You'll also nab 30% more dukes for your trouble."
perkDeathSprintName,"Death Sprint"
perkDeathSprintDesc,"Become Death itself! The rush of a kill has a chance to fully restore your stamina."
perkDeathSprintRank1Desc,"Thanatos"
perkDeathSprintRank1LongDesc,"You feed power from killing. There's a 10% chance to fully restore your stamina from a kill."
perkDeathSprintRank2Desc,"Azrael"
perkDeathSprintRank2LongDesc,"Refreshing! You now have a 15% chance to regain stamina"
perkDeathSprintRank3Desc,"Wild Hunt"
perkDeathSprintRank3LongDesc,"Collect those souls! Each kill gives you a 20% chance to restore your stamina."
perkDeathSprintRank4Desc,"Pale Horseman"
perkDeathSprintRank4LongDesc,"Who's that rider? Death! You have gained a 25% chance to recover all stamina from a kill."
perkDeathSprintRank5Desc,"Grim Reaper"
perkDeathSprintRank5LongDesc,"Ferry those souls to the afterlife...and take their energy! Upon landing a killing blow you now have a 30% chance to fully recover your stamina."
perkGoldenBulletName,"Golden Bullet"
perkGoldenBulletDesc,"Sometimes it only takes one bullet."
perkGoldenBulletRank1Desc,"Better to be Lucky"
perkGoldenBulletRank1LongDesc,"When using a gun, you have a 1% chance to one-shot your target."
perkGoldenBulletRank2Desc,"One Shot, One Kill"
perkGoldenBulletRank2LongDesc,"You now have a 2% chance to instakill your target."
perkGoldenBulletRank3Desc,"Luck of the Draw"
perkGoldenBulletRank3LongDesc,"You now own a 3% chance to put your target down in one shot."
perkGoldenBulletRank4Desc,"Only Need One in the Chamber"
perkGoldenBulletRank4LongDesc,"A 4% chance to one-shot your target is now yours."
perkGoldenBulletRank5Desc,"007"
perkGoldenBulletRank5LongDesc,"The man with the Golden Bullet! You now have a 5% to instakill your target."
perkRicochetName,"Ricochet"
perkRicochetDesc,"You're rubber and they're glue! When enemies are above 20% health, gain a small chance to reflect back some of their attacks to damage them. If the ricochet kills them though, you will not gain XP from their death."
perkRicochetRank1Desc,"Reflector"
perkRicochetRank1LongDesc,"You have a very small chance to reflect 10 damage back to your attacker."
perkRicochetRank2Desc,"Mirrorer"
perkRicochetRank2LongDesc,"You now have a very small chance to reflect back 20 damage."
perkRicochetRank3Desc,"Return to Sender"
perkRicochetRank3LongDesc,"There is a small chance to reflect 30 damage back to you attacker."
perkRicochetRank4Desc,"Reverse Card"
perkRicochetRank4LongDesc,"Gain a small chance to reflect back 40 damage."
perkRicochetRank5Desc,"Rubber Skin"
perkRicochetRank5LongDesc,"You now have a slightly higher chance to reflect 50 damage. Also gain a very small chance to ricochet back and instantly kill whatever attacked you."
bookSPIFSALStength,"You're SPIFSAL!(Strength)"
bookSPIFSALStengthDesc,"Read these to gain a level in this attribute. You can only read a total of 21 SPIFSAL books, so choose wisely as it's the main way to raise your attributes now."
bookSPIFSALPerception,"You're SPIFSAL!(Perception)"
bookSPIFSALPerceptionDesc,"Read these to gain a level in this attribute. You can only read a total of 21 SPIFSAL books, so choose wisely as it's the main way to raise your attributes now."
bookSPIFSALIntellect,"You're SPIFSAL!(Intellect)"
bookSPIFSALIntellectDesc,"Read these to gain a level in this attribute. You can only read a total of 21 SPIFSAL books, so choose wisely as it's the main way to raise your attributes now."
bookSPIFSALFortitude,"You're SPIFSAL!(Fortitude)"
bookSPIFSALFortitudeDesc,"Read these to gain a level in this attribute. You can only read a total of 21 SPIFSAL books, so choose wisely as it's the main way to raise your attributes now."
bookSPIFSALAgility,"You're SPIFSAL!(Agility)"
bookSPIFSALAgilityDesc,"Read these to gain a level in this attribute. You can only read a total of 21 SPIFSAL books, so choose wisely as it's the main way to raise your attributes now."
bookSPIFSALSurvival,"You're SPIFSAL!(Survival)"
bookSPIFSALSurvivalDesc,"Read these to gain a level in this attribute. You can only read a total of 21 SPIFSAL books, so choose wisely as it's the main way to raise your attributes now."
bookSPIFSALLuck,"You're SPIFSAL!(Luck)"
bookSPIFSALLuckDesc,"Read these to gain a level in this attribute. You can only read a total of 21 SPIFSAL books, so choose wisely as it's the main way to raise your attributes now."
bookSPIFSALBundle,"SPIFSAL Starter Bundle"
bookSPIFSALBundleDesc,"Bundle containing 9 of each SPIFSAL book for attribute selection at the beginning of a game."
bookLightArmor1,"Light Armor Training"
bookLightArmor1Desc,"Reading this will help you learn to effectively manage Light Armor. Lessens stamina usage, increases mobility, and makes your armor last longer. Can be read up to five times."
bookHeavyArmor1,"Heavy Armor Training"
bookHeavyArmor1Desc,"Reading this will help you learn to effectively manage Heavy Armor. Lessens stamina usage, increases mobility, and makes your armor last longer. Can be read up to five times."
perkShotgunMessiahSlugsDesc,"You can craft shotgun slugs and magnum buckshot."
perkShotgunMessiahSlugsLongDesc,"Shotgun Shell Upgrade: Magnum Buckshot has greater knockdown power than regular shells and Slugs are like huge bullets that travel much further than buckshot. You can craft magnum bukcshot and shotgun slugs."
noteDuke01,"A Note Found in the Wasteland"
noteDuke01Desc,"Welcome, Survivor! You'll find a bundle of SPIFSAL books on you that can be used to set your attributes. You are limited to reading 21 books total and you can no longer use skill points to level up attributes themselves, so choose wisely!"
paStatueStrengthI,"Power Armor Statue - Strength"
paStatueStrengthIDesc,"Sometimes brute force is the best answer."
paStatuePerceptionI,"Power Armor Statue - Perception"
paStatuePerceptionIDesc,"Observe everything, miss nothing."
paStatueIntellectI,"Power Armor Statue - Intellect"
paStatueIntellectIDesc,"The quest for knowledge is endless."
paStatueFortitudeI,"Power Armor Statue - Fortitude"
paStatueFortitudeIDesc,"Never give up. Outlast everything."
paStatueSurvivalI,"Power Armor Statue - Survival"
paStatueSurvivalIDesc,"Desperate times, desperate measures and all that jazz."
paStatueAgilityI,"Power Armor Statue - Agility"
paStatueAgilityIDesc,"Being able to dance around danger is invaluable."
paStatueLuckI,"Power Armor Statue - Luck"
paStatueLuckIDesc,"Sometimes you just need things to go your way."
paStatueStrength,"Power Armor Statue - Strength"
paStatuePerception,"Power Armor Statue - Perception"
paStatueIntellect,"Power Armor Statue - Intellect"
paStatueFortitude,"Power Armor Statue - Fortitude"
paStatueSurvival,"Power Armor Statue - Survival"
paStatueAgility,"Power Armor Statue - Agility"
paStatueLuck,"Power Armor Statue - Luck"
paStatueRandomHelper,Power Armor Statue - Helper Block
paStatueRandomHelperDesc,Will spawn a random PA statue.
reqLuckLevel01,Luck Level 1
reqLuckLevel02,Luck Level 2
reqLuckLevel03,Luck Level 3
reqLuckLevel04,Luck Level 4
reqLuckLevel05,Luck Level 5
reqLuckLevel06,Luck Level 6
reqLuckLevel07,Luck Level 7
reqLuckLevel08,Luck Level 8
reqLuckLevel09,Luck Level 9
reqLuckLevel10,Luck Level 10
reqSurvivalLevel01,Survival Level 1
reqSurvivalLevel02,Survival Level 2
reqSurvivalLevel03,Survival Level 3
reqSurvivalLevel04,Survival Level 4
reqSurvivalLevel05,Survival Level 5
reqSurvivalLevel06,Survival Level 6
reqSurvivalLevel07,Survival Level 7
reqSurvivalLevel08,Survival Level 8
reqSurvivalLevel09,Survival Level 9
reqSurvivalLevel10,Survival Level 10
reqPlayerLevel01,Player Level 1
reqPlayerLevel02,Player Level 2
reqPlayerLevel03,Player Level 3
reqPlayerLevel04,Player Level 4
reqPlayerLevel05,Player Level 5
reqPlayerLevel06,Player Level 6
reqPlayerLevel07,Player Level 7
reqPlayerLevel08,Player Level 8
reqPlayerLevel09,Player Level 9
reqPlayerLevel10,Player Level 10
reqPlayerLevel11,Player Level 11
reqPlayerLevel12,Player Level 12
reqPlayerLevel13,Player Level 13
reqPlayerLevel14,Player Level 14
reqPlayerLevel15,Player Level 15
reqPlayerLevel16,Player Level 16
reqPlayerLevel17,Player Level 17
reqPlayerLevel18,Player Level 18
reqPlayerLevel19,Player Level 19
